age,sex,bmi,children,smoker,region,expenses
45,female,25.2,2,no,northeast,9095.07
36,female,30.0,0,no,northwest,5272.18
64,female,26.9,0,yes,northwest,29330.98
46,male,25.7,3,no,northwest,9301.89
19,male,31.9,0,yes,northwest,33750.29
34,male,42.9,1,no,southwest,4536.26
19,female,22.5,0,no,northwest,2117.34
64,male,37.9,0,no,northwest,14210.54
28,female,17.3,0,no,northeast,3732.63
49,male,28.7,3,no,northwest,10264.44
30,male,24.4,3,yes,southwest,18259.22
41,male,30.6,2,no,northwest,7256.72
29,female,29.6,1,no,southeast,3947.41
46,male,42.4,3,yes,southeast,46151.12
60,male,40.9,0,yes,southeast,48673.56
47,male,38.9,2,yes,southeast,44202.65
49,female,42.7,2,no,southeast,9800.89
47,female,36.6,1,yes,southeast,42969.85
46,female,28.1,1,no,southeast,8233.1
43,female,26.9,0,yes,northwest,21774.32
25,male,23.9,5,no,southwest,5080.1
43,male,32.6,2,no,southwest,7441.5
19,male,30.4,0,no,southwest,1256.3
22,female,39.8,0,no,northeast,2755.02
50,female,28.1,3,no,northwest,11085.59
54,female,32.7,0,no,northeast,10923.93
60,female,35.1,0,no,southwest,12644.59
27,female,30.4,3,no,northwest,18804.75
47,female,26.6,2,no,northeast,9715.84
18,male,30.1,0,no,southeast,1131.51
40,female,29.3,4,no,southwest,15828.82
57,female,31.8,0,no,northwest,11842.62
21,female,34.9,0,no,southeast,2020.55
30,female,20.0,3,no,northwest,5693.43
26,male,30.0,1,no,southwest,2904.09
45,male,39.8,0,no,northeast,7448.4
21,female,26.4,1,no,southwest,2597.78
43,female,29.9,1,no,southwest,7337.75
52,female,24.1,1,yes,northwest,23887.66
36,male,35.2,1,yes,southeast,38709.18
19,female,28.6,5,no,southwest,4687.8
22,male,31.4,1,no,northwest,2643.27
56,female,35.8,1,no,southwest,11674.13
59,male,25.5,0,no,northwest,12124.99
33,male,35.8,2,no,southeast,4890.0
59,male,27.5,1,no,southwest,12333.83
21,female,33.6,2,no,northwest,3579.83
25,female,24.3,3,no,southwest,4391.65
43,male,36.0,3,yes,southeast,42124.52
31,male,38.4,2,no,southeast,4463.21
63,female,36.3,0,no,southeast,13887.2
18,male,29.4,1,no,southeast,1719.44
40,female,41.4,1,no,northwest,28476.73
18,male,26.1,0,no,northeast,1708.93
56,male,34.4,0,no,southeast,10594.23
50,male,32.1,2,no,northeast,25333.33
30,male,25.5,0,no,northeast,3645.09
31,male,34.4,3,yes,northwest,38746.36
58,female,33.1,0,no,southwest,11848.14
53,female,33.3,0,no,northeast,10564.88
63,female,31.8,0,no,southwest,13880.95
30,female,43.1,2,no,southeast,4753.64
61,male,36.1,3,no,southwest,27941.29
42,female,25.0,2,no,northwest,8017.06
52,female,30.9,0,no,northeast,23045.57
28,female,25.9,1,no,northwest,4133.64
21,male,25.7,4,yes,southwest,17942.11
52,male,26.4,3,no,southeast,25992.82
25,female,22.5,1,no,northwest,3594.17
22,male,39.5,0,no,southwest,1682.6
38,male,37.1,1,no,northeast,6079.67
46,female,32.3,2,no,northeast,9411.01
48,female,33.3,0,no,southeast,8283.68
39,male,32.3,2,no,southeast,6338.08
44,male,38.1,1,no,southeast,7152.67
36,female,29.9,0,no,southeast,4889.04
27,male,32.6,3,no,northeast,4846.92
56,female,25.7,0,no,northwest,11454.02
28,female,33.0,2,no,southeast,4349.46
45,female,25.7,3,no,southwest,9101.8
20,male,33.3,0,no,southeast,1391.53
62,male,26.7,0,yes,northeast,28101.33
32,female,29.8,2,no,southwest,5152.13
23,female,36.7,2,yes,northeast,38511.63
22,male,52.6,1,yes,southeast,44501.4
50,male,31.8,0,yes,northeast,41097.16
30,male,31.6,3,no,southeast,4837.58
55,male,32.8,0,no,northwest,10601.63
43,female,30.7,2,no,northwest,8310.84
53,male,36.6,3,no,southwest,11264.54
62,female,38.1,2,no,northeast,15230.32
64,female,23.0,0,yes,southeast,27037.91
47,female,26.1,1,yes,northeast,23401.31
31,male,27.6,2,no,northeast,5031.27
33,male,35.8,1,yes,southeast,38282.75
41,male,32.2,2,no,southwest,6875.96
32,male,28.9,1,yes,southeast,19719.69
20,female,33.0,0,no,southeast,1880.07
30,female,23.7,3,yes,northwest,18765.88
35,female,23.5,2,no,northeast,6402.29
30,female,28.4,1,no,northwest,4527.18
19,female,28.9,0,no,southwest,1743.21
41,male,40.3,0,no,southeast,5709.16
56,male,36.1,3,no,southwest,12363.55
61,male,23.7,0,no,northeast,13129.6
18,male,35.2,1,no,southeast,1727.54
44,male,30.7,2,no,southeast,7731.43
53,male,20.9,0,yes,southeast,21195.82
18,male,21.5,0,no,northeast,1702.46
53,female,22.9,1,yes,southeast,23244.79
19,male,33.1,0,no,southwest,23082.96
26,male,46.5,1,no,southeast,2927.06
58,female,32.4,1,no,northeast,13019.16
34,female,31.9,1,yes,northeast,37701.88
49,female,30.8,1,no,northeast,9778.35
20,male,33.0,1,no,southwest,1980.07
60,male,28.6,0,no,northeast,30260.0
43,female,26.7,2,yes,southwest,22478.6
37,female,30.8,2,no,southeast,6313.76
23,male,27.4,1,no,northwest,2789.06
34,female,33.3,1,no,northeast,5594.85
41,male,34.2,2,no,northwest,7261.74
52,female,38.4,2,no,northeast,11396.9
24,male,35.9,0,no,southeast,1986.93
28,female,23.8,2,no,northwest,4719.74
41,female,33.1,2,no,northwest,7749.16
43,female,35.6,1,no,southeast,7345.73
49,male,29.8,1,no,northeast,9288.03
59,female,35.2,0,no,southeast,12244.53
23,male,41.9,0,no,southeast,1837.28
32,female,28.9,0,no,southeast,3972.92
35,male,34.3,3,no,southeast,5934.38
35,female,35.9,2,no,southeast,5836.52
45,female,38.3,0,no,northeast,7935.29
39,female,32.8,0,no,southwest,5649.72
59,male,37.1,1,no,southwest,12347.17
33,male,35.2,0,no,northeast,12404.88
42,male,30.0,0,yes,southwest,22144.03
44,female,39.0,0,yes,northwest,42983.46
37,female,30.8,0,yes,northeast,37270.15
36,female,26.9,0,no,northwest,5267.82
51,female,33.9,0,no,northeast,9866.3
26,male,35.4,0,no,southeast,2322.62
52,female,37.5,2,no,northwest,33471.97
25,male,25.7,0,no,southeast,2137.65
49,male,25.6,2,yes,southwest,23306.55
33,male,27.5,2,no,northwest,5261.47
31,female,29.1,0,no,southwest,3761.29
51,female,36.4,3,no,northwest,11436.74
35,male,30.5,1,no,southwest,4751.07
53,female,36.9,3,yes,northwest,46661.44
23,female,28.1,0,no,northwest,2690.11
18,male,41.1,0,no,southeast,1146.8
32,male,33.6,1,yes,northeast,37607.53
38,female,40.6,1,no,northwest,6373.56
34,male,34.7,0,no,northeast,4518.83
62,male,32.1,0,no,northeast,13555.0
47,female,29.4,1,no,southeast,8547.69
19,female,33.1,0,yes,southeast,34439.86
40,male,32.8,1,yes,northeast,39125.33
58,female,31.8,2,no,northeast,13607.37
19,female,25.7,1,no,northwest,2710.83
64,male,25.6,2,no,southwest,14988.43
23,male,24.5,0,no,northeast,2396.1
23,male,32.7,3,no,southwest,3591.48
42,male,37.2,2,no,southeast,7162.01
63,female,37.7,0,yes,southwest,48824.45
57,female,31.2,0,yes,northwest,43578.94
44,male,31.4,1,yes,northeast,39556.49
25,female,30.3,0,no,southwest,2632.99
49,female,21.3,1,no,southwest,9182.17
39,female,32.5,1,no,southwest,6238.3
39,male,42.7,0,no,northeast,5757.41
31,male,25.9,1,no,northwest,4239.89
22,female,27.1,0,no,southwest,2154.36
47,male,25.4,1,yes,southeast,21978.68
19,male,27.7,0,yes,southwest,16297.85
64,male,40.5,0,no,southeast,13831.12
32,female,17.8,2,yes,northwest,32734.19
57,female,23.2,0,no,northwest,11830.61
63,female,27.7,0,yes,northeast,29523.17
21,female,16.8,1,no,northeast,3167.46
47,male,19.6,1,no,northwest,8428.07
34,female,33.7,1,no,southwest,5012.47
29,male,22.5,3,no,northeast,5209.58
24,female,33.3,0,no,northwest,2855.44
29,male,29.6,1,no,northeast,20277.81
30,female,27.7,0,no,southwest,3554.2
47,female,45.3,1,no,southeast,8569.86
55,male,27.6,0,no,northwest,10594.5
23,male,37.1,3,no,southwest,3597.6
18,female,29.2,0,no,northeast,7323.73
22,female,23.2,0,no,northeast,2731.91
31,male,36.3,2,yes,southwest,38711.0
62,male,38.8,0,no,southeast,12981.35
51,female,34.1,0,no,southeast,9283.56
19,female,24.5,1,no,northwest,2709.11
54,female,28.9,2,no,northeast,12096.65
18,female,26.3,0,no,northeast,2198.19
50,female,25.6,0,no,southwest,8932.08
26,female,22.2,0,no,northwest,3176.29
52,male,27.4,0,yes,northwest,24393.62
30,male,44.2,2,no,southeast,4266.17
19,male,27.3,2,no,northwest,22493.66
20,female,26.8,1,yes,southeast,17085.27
27,female,24.8,0,yes,southeast,16577.78
50,male,26.4,0,no,northwest,8827.21
22,female,21.3,3,no,northwest,4296.27
48,male,40.2,0,no,southeast,7804.16
25,female,20.8,1,no,southwest,3208.79
62,male,21.4,0,no,southwest,12957.12
57,female,24.0,1,no,southeast,22192.44
46,female,48.1,2,no,northeast,9432.93
26,male,27.1,0,yes,southeast,17043.34
40,male,25.0,2,no,southeast,6593.51
30,female,27.9,0,no,northeast,4137.52
33,female,28.3,1,no,southeast,4779.6
59,female,27.8,3,no,southeast,14001.29
60,female,24.5,0,no,southeast,12629.9
35,female,34.2,1,no,southeast,5245.23
21,female,35.7,0,no,northwest,2404.73
44,male,39.5,0,no,northwest,6948.7
37,male,46.5,3,no,southeast,6435.62
43,male,38.1,2,yes,southeast,42560.43
22,male,32.1,0,no,northwest,2055.32
28,male,31.7,0,yes,southeast,34672.15
19,female,20.6,0,no,southwest,1731.68
19,male,30.6,0,no,northwest,1639.56
51,male,30.0,1,no,southeast,9377.9
49,female,41.5,4,no,southeast,10977.21
21,male,36.9,0,no,southeast,1534.3
51,female,18.1,0,no,northwest,9644.25
29,female,24.6,2,no,southwest,4529.48
43,male,27.8,0,yes,southwest,37829.72
52,female,18.3,0,no,northwest,9991.04
49,male,36.9,0,no,southeast,8125.78
26,male,30.9,2,no,northwest,3877.3
42,male,34.1,0,no,southwest,5979.73
42,female,40.4,2,yes,southeast,43896.38
22,male,33.8,0,no,southeast,1674.63
60,female,18.3,0,no,northeast,13204.29
29,male,35.5,2,yes,southwest,44585.46
25,female,34.5,0,no,northwest,3021.81
26,female,29.9,1,no,southeast,3392.98
19,male,25.2,0,no,northwest,1632.04
26,male,31.1,0,no,northwest,2699.57
28,female,27.5,2,no,southwest,20177.67
32,male,31.5,1,no,southwest,4076.5
52,female,46.8,5,no,southeast,12592.53
19,male,17.5,0,no,northwest,1621.34
20,female,29.6,0,no,southwest,1875.34
40,male,35.3,3,no,southwest,7196.87
28,female,25.8,0,no,southwest,3161.45
57,female,22.2,0,no,northeast,12029.29
19,female,31.8,1,no,northwest,2719.28
25,female,32.2,1,no,southeast,18218.16
60,male,28.9,0,no,southwest,12146.97
26,male,33.9,1,no,northwest,3292.53
49,male,22.5,0,no,northeast,8688.86
31,female,30.5,3,no,northeast,6113.23
40,female,28.7,3,no,northwest,8059.68
61,female,21.1,0,no,northwest,13415.04
27,male,29.2,0,yes,southeast,18246.5
63,male,35.1,0,yes,southeast,47055.53
58,female,27.2,0,no,northwest,12222.9
38,male,28.0,1,no,northeast,6067.13
54,female,47.4,0,yes,southeast,63770.43
51,female,34.2,1,no,southwest,9872.7
46,female,20.0,2,no,northwest,9193.84
47,female,24.3,0,no,northeast,8534.67
52,female,24.9,0,no,southeast,27117.99
39,female,34.3,5,no,southeast,8596.83
54,female,21.5,3,no,northwest,12475.35
63,male,41.5,0,no,southeast,13405.39
22,female,24.3,0,no,southwest,2150.47
18,male,21.6,0,yes,northeast,13747.87
40,male,41.2,1,no,northeast,6610.11
37,male,34.2,1,yes,northeast,39047.29
34,male,22.4,2,no,northeast,27375.9
50,male,37.1,1,no,southeast,9048.03
49,female,29.9,0,no,northwest,8988.16
64,female,39.3,0,no,northeast,14901.52
46,male,25.8,5,no,southwest,10096.97
50,male,32.2,0,no,northwest,8835.26
36,male,33.4,2,yes,southwest,38415.47
25,male,26.2,0,no,northeast,2721.32
51,female,37.7,1,no,southeast,9877.61
52,male,41.8,2,yes,southeast,47269.85
30,male,27.6,1,no,northeast,4237.13
25,male,35.6,0,no,northwest,2534.39
18,female,31.9,0,no,northeast,2205.98
57,male,28.1,0,no,southwest,10965.45
27,female,18.0,2,yes,northeast,15006.58
48,male,35.6,4,no,northeast,10736.87
45,male,24.3,5,no,southeast,9788.87
54,male,24.0,0,no,northeast,10422.92
49,male,37.5,2,no,southeast,9304.7
26,female,19.8,1,no,southwest,3378.91
22,female,28.1,0,no,southeast,2155.68
24,male,40.2,0,yes,southeast,38126.25
34,male,30.8,0,yes,southwest,35491.64
39,male,45.4,2,no,southeast,6356.27
19,female,30.6,2,no,northwest,24059.68
19,male,26.0,1,yes,northwest,16450.89
59,male,29.7,2,no,southeast,12925.89
30,male,35.5,0,yes,southeast,36950.26
20,female,30.6,0,no,northeast,2459.72
64,male,33.9,0,yes,southeast,46889.26
34,male,42.1,2,no,southeast,5124.19
18,female,38.3,0,no,southeast,14133.04
35,female,27.7,3,no,southwest,6414.18
18,male,30.0,1,no,southeast,1720.35
25,male,24.1,0,yes,northwest,15817.99
62,female,33.2,0,no,southwest,13462.52
21,male,22.3,1,no,southwest,2103.08
54,female,30.8,3,no,southwest,12105.32
55,male,33.0,0,no,southeast,20781.49
58,female,36.5,0,no,northwest,12235.84
38,male,38.4,3,yes,southeast,41949.24
56,female,33.8,2,no,northwest,12643.38
48,male,24.4,0,yes,southeast,21223.68
41,female,32.6,3,no,southwest,7954.52
63,male,39.8,3,no,southwest,15170.07
30,male,31.4,1,no,southwest,3659.35
46,female,27.7,1,no,southeast,8232.64
45,male,28.7,2,no,southwest,8027.97
60,male,33.1,3,no,southeast,13919.82
55,male,21.5,1,no,southwest,10791.96
25,female,41.3,0,no,northeast,17878.9
56,male,39.6,0,no,southwest,10601.41
60,female,27.6,0,no,northeast,13217.09
58,male,34.9,0,no,northeast,11944.59
34,male,32.8,1,no,southwest,14358.36
19,male,30.3,0,yes,southeast,32548.34
41,male,33.6,0,no,southeast,5699.84
24,male,23.7,0,no,northwest,2352.97
28,female,26.5,2,no,southeast,4340.44
51,male,39.7,1,no,southwest,9391.35
47,male,36.1,1,yes,southeast,42211.14
46,female,28.9,2,no,southwest,8823.28
63,female,26.2,0,no,northwest,14256.19
38,female,20.0,2,no,northeast,7133.9
28,female,26.3,3,no,northwest,5312.17
25,male,26.8,3,no,southwest,3906.13
18,female,30.1,0,no,northeast,2203.47
45,female,27.6,1,no,northwest,28340.19
38,male,28.3,1,no,southeast,5484.47
18,female,31.4,0,no,southeast,1622.19
50,female,33.7,4,no,southwest,11299.34
46,female,27.7,0,no,northwest,8026.67
34,male,27.0,2,no,southwest,11737.85
19,female,23.4,2,no,southwest,2913.57
51,female,25.8,1,no,southwest,9861.03
24,female,34.0,0,no,southeast,2473.33
35,female,34.1,3,yes,northwest,39983.43
18,male,38.2,0,yes,southeast,36307.8
51,female,38.1,0,yes,southeast,44400.41
28,female,33.4,0,no,southwest,3172.02
46,male,26.6,1,no,southeast,7742.11
41,female,31.0,0,no,southeast,6185.32
20,female,33.3,0,no,southwest,1880.49
43,female,25.3,1,yes,northeast,21771.34
41,male,23.9,1,no,northeast,6858.48
40,male,19.8,1,yes,southeast,17179.52
45,male,36.5,2,yes,northwest,42760.5
36,female,29.9,1,no,southeast,5478.04
60,female,30.5,0,no,southwest,12638.2
34,female,37.3,2,no,northwest,5989.52
49,female,22.6,1,no,northwest,9566.99
49,female,33.3,2,no,northeast,10370.91
44,female,20.2,1,yes,northeast,19594.81
57,male,43.7,1,no,southwest,11576.13
33,female,42.9,3,no,northwest,6360.99
30,male,24.1,1,no,northwest,4032.24
21,female,17.4,1,no,southwest,2585.27
56,female,28.8,0,no,northeast,11658.38
39,male,28.3,1,yes,southwest,21082.16
55,male,32.7,1,no,southeast,10807.49
52,male,30.2,1,no,southwest,9724.53
26,female,40.2,0,no,northwest,3201.25
25,male,25.8,1,no,northeast,3309.79
42,male,26.9,0,no,southwest,5969.72
48,female,22.8,0,no,southwest,8269.04
46,female,30.8,3,no,southwest,9414.92
51,male,24.8,2,yes,northwest,23967.38
64,female,33.8,1,yes,southwest,47928.03
58,female,29.0,0,no,southwest,11842.44
44,female,27.6,0,no,northwest,7421.19
61,male,38.4,0,no,northwest,12950.07
48,female,41.2,4,no,northwest,11033.66
38,male,34.7,2,no,southwest,6082.41
32,female,41.1,0,no,southwest,3989.84
38,female,30.2,3,no,northwest,7537.16
26,male,23.7,2,no,southwest,3484.33
49,male,30.3,0,no,southwest,8116.68
32,female,23.7,1,no,southeast,17626.24
58,female,25.2,0,no,southwest,11837.16
50,female,44.7,0,no,northeast,9541.7
36,male,29.7,0,no,southeast,4399.73
18,female,28.2,0,no,northeast,2200.83
58,male,36.1,0,no,southeast,11363.28
20,male,22.0,1,no,southwest,1964.78
61,female,31.2,0,no,northwest,13429.04
46,male,27.6,0,no,southwest,24603.05
54,female,31.9,3,no,southeast,27322.73
55,male,30.7,0,yes,northeast,42303.69
25,male,45.5,2,yes,southeast,42112.24
47,male,36.2,0,yes,southeast,41676.08
32,female,29.6,1,no,southeast,4562.84
26,male,32.5,1,no,northeast,3490.55
55,female,40.8,3,no,southeast,12485.8
36,male,28.9,3,no,northeast,6748.59
43,female,46.2,0,yes,southeast,45863.21
22,female,36.0,0,no,southwest,2166.73
38,male,29.3,2,no,northwest,6457.84
54,female,23.0,3,no,southwest,12094.48
42,male,24.6,0,yes,southeast,19515.54
20,male,30.1,5,no,northeast,4915.06
25,male,27.6,0,no,northwest,2523.17
57,male,40.9,0,no,northeast,11566.3
25,male,25.0,2,no,northeast,23241.47
32,male,30.0,1,no,southeast,4074.45
40,male,34.1,1,no,northeast,6600.21
19,male,20.7,0,no,southwest,1242.82
35,male,24.4,3,yes,southeast,19362.0
45,male,23.6,2,no,northeast,8603.82
33,female,38.9,3,no,southwest,5972.38
28,female,33.1,0,no,southeast,3171.61
33,female,32.9,2,no,southwest,5375.04
57,female,25.7,2,no,southeast,12629.17
33,male,27.1,1,yes,southwest,19040.88
44,female,29.8,2,no,southeast,8219.2
45,female,35.3,0,no,southwest,7348.14
31,female,31.1,0,no,northeast,4347.02
34,female,19.0,3,no,northeast,6753.04
24,female,22.6,0,no,southwest,2457.5
38,female,30.7,1,no,southeast,5976.83
43,male,35.3,2,no,southeast,18806.15
56,female,25.3,0,no,southwest,11070.54
53,male,21.4,1,no,southwest,10065.41
26,female,29.6,4,no,northeast,24671.66
23,male,32.6,0,no,southeast,1824.29
43,female,25.1,0,no,northeast,7325.05
39,male,35.3,2,yes,southwest,40103.89
45,female,30.5,1,yes,northwest,39725.52
19,female,32.9,0,no,southwest,1748.77
60,male,39.9,0,yes,southwest,48173.36
22,male,35.6,0,yes,southwest,35585.58
55,female,26.8,1,no,southwest,35160.13
19,male,35.4,0,no,southwest,1263.25
62,male,39.9,0,no,southeast,12982.87
19,male,34.1,0,no,southwest,1261.44
50,male,26.6,0,no,southwest,8444.47
25,male,33.3,2,yes,southeast,36124.57
63,male,33.7,3,no,southeast,15161.53
50,male,31.0,3,no,northwest,10600.55
40,male,29.4,1,no,northwest,6393.6
59,male,28.8,0,no,northwest,12129.61
23,female,24.2,2,no,northeast,22395.74
46,male,40.4,2,no,northwest,8733.23
33,male,22.7,0,no,northwest,21984.47
55,female,29.7,2,no,southwest,11881.36
50,female,30.1,1,no,northwest,9910.36
36,female,22.1,3,no,northeast,7228.22
23,male,50.4,1,no,southeast,2438.06
32,female,29.7,0,no,northwest,4357.04
43,male,30.1,3,no,northwest,8410.05
38,male,31.0,1,no,southwest,5488.26
39,female,24.9,3,yes,northeast,21659.93
55,female,33.5,2,no,northwest,12269.69
20,male,29.7,0,no,northwest,1769.53
41,male,30.8,3,yes,northeast,39597.41
27,female,31.4,0,yes,southwest,34838.87
26,male,29.5,0,no,northeast,2897.32
18,male,43.0,0,no,southeast,1149.4
39,female,18.3,5,yes,southwest,19023.26
32,male,37.3,1,no,northeast,4667.61
57,male,33.6,1,no,northwest,11945.13
54,female,24.6,3,no,northwest,12479.71
31,female,25.7,0,no,southeast,3756.62
41,female,31.6,0,no,southwest,6186.13
48,male,30.2,2,no,southwest,8968.33
21,male,36.9,0,no,northwest,1917.32
24,male,29.3,0,no,southwest,1977.82
23,female,35.0,3,no,northwest,4466.62
19,female,36.6,0,no,northwest,2136.88
25,male,30.6,0,no,northeast,2727.4
47,male,28.2,3,yes,northwest,24915.22
44,female,36.5,0,no,northeast,12797.21
37,male,34.1,4,yes,southwest,40182.25
22,female,30.4,0,yes,northwest,33907.55
61,male,43.4,0,no,southwest,12574.05
58,female,41.9,0,no,southeast,24227.34
29,male,31.7,2,no,northwest,4433.39
53,female,39.6,1,no,southeast,10579.71
42,male,35.8,2,no,southwest,7160.09
52,female,31.7,2,no,northwest,11187.66
61,female,39.1,2,no,southwest,14235.07
53,male,30.5,0,no,northeast,10072.06
40,male,26.3,1,no,northwest,6389.38
